company,category,phillip_has_dm,target_priority,target_market,hq_city,website,dm_name,dm_title,dm_direct_LINE_TYPE,dm_direct_channel,size_signal,fit_for_auro,state,notes
"Binghatti Developers",developer,NO,HIGH,UAE,Dubai,https://www.binghatti.com,Muhammad Binghatti (CEO),CEO,mobile / WhatsApp,LinkedIn (publicly active),Fast-growing mid-tier dev · Mercedes-Benz Places JV,"Rapid 2024-2026 expansion - scale ambition",DM_ID_FOUND,Most active UAE developer on LinkedIn
"MAG PD (MAG Property Development)",developer,NO,MEDIUM,UAE,Dubai,https://www.mag-pd.com,Magdi Maksoud (Chairman),Chairman,mobile,LinkedIn,"Established 1978 · growth surge 2022-2026","Mid-tier — tone matches AURO",DM_ID_FOUND,MAG widely known
"Imtiaz Real Estate Development",developer,NO,MEDIUM,UAE,Dubai,https://www.imtiaz.ae,TBD,CEO,mobile,linkedin-first,Mid-tier new project pipeline,"Mid-volume opportunities",NEW,Publicly listed DFM
"Reportage Properties",developer,NO,MEDIUM,UAE,Abu Dhabi,https://www.reportageuae.com,TBD,CEO,mobile,linkedin-first,Mid-tier AD dev with UAE spread,"Mid-tier buyer pool",NEW,Abu Dhabi based
"Danube Properties",developer,NO,MEDIUM,UAE,Dubai,https://www.danubeproperties.com,TBD,CEO,mobile,linkedin-first,Mid-tier · flexible payment plans,"Mid-tier buyer pool — high sales velocity",NEW,Danube has affordable tier
"Samana Developers",developer,NO,MEDIUM,UAE,Dubai,https://www.samanadevelopers.com,TBD,CEO,mobile,linkedin-first,Small tier · boutique,"Boutique — direct call works",NEW,
"Lennar Corporation",developer,NO,MEDIUM,USA,Miami,https://www.lennar.com,"Jonathan Jaffe / Rick Beckwitt (Co-CEOs)","Co-CEO",public mobile,LinkedIn + Press,$30bn + sales · US tier-1,"International expansion ambitions — relevant use case",DM_ID_FOUND,Lennar has international division
"DR Horton",developer,NO,MEDIUM,USA,Arlington TX,https://www.drhorton.com,David Auld (CEO),CEO,public mobile,SEC filings / press,US largest homebuilder · ~$30bn revenue,"US market — AURO international expansion case",DM_ID_FOUND,Publicly traded
"PulteGroup",developer,NO,LOW,USA,Atlanta,https://www.pultegroup.com,Ryan Marshall (President CEO),CEO,public mobile,SEC filings / press,US tier-1 dev,$10bn+ revenue — high fit but US market focus,"International potential pivot — speculative",DM_ID_FOUND,Nyse-listed
"Toll Brothers",developer,NO,LOW,USA,Fort Washington PA,https://www.tollbrothers.com,Douglas Yearley (CEO),CEO,public mobile,Forbes / press,Premium US luxury homebuilder,"Premium positioning matches AURO",DM_ID_FOUND,High-end US-only niche
"Barratt Redrow (UK)",developer,NO,MEDIUM,UK,London,https://www.barrattredrow.co.uk,"David Thomas (CEO) / Steven Boyes (CFO)",CEO,mobile,Annual report + executives,UK leading homebuilder - newly merged,"Mid-tier buyer — UK market",DM_ID_FOUND,Top UK listed dev
"Persimmon plc",developer,NO,MEDIUM,UK,York,https://www.persimmonhomes.com,Dean Finch (CEO),CEO,mobile,Annual report,UK mass-market tier-1 homebuilder,"UK volume - AURO international story",DM_ID_FOUND,LSE listed
"Taylor Morrison Home Corp",developer,NO,LOW,USA,Scottsdale AZ,https://www.taylormorrison.com,Sheryl Palmer (Chairwoman CEO),CEO,mobile,LinkedIn / press,US tier-1 luxury,"Luxury positioning matches AURO premium angle",DM_ID_FOUND,NYSE listed Taylor Morrison
"Betterhomes",brokerage,YES,SKIP,UAE,Dubai,https://www.betterhomes.ae,Phillip has CEO direct line,(already on Philips list),(SKIP - DM owned by Phillip),"700 agents · Unit_type: brokerage (skip)","Phillip keeps for cold-call testing",SKIP,Phillip has DM
"Christie's International Real Estate Dubai",brokerage,YES,SKIP,UAE,Dubai,https://www.christiesrealestate.com,Phillip met MD on direct call,(already met),(SKIP - meeting booked),"PROOF CASE for outreach","Phillip's existing warm lead",SKIP,Phillip already has meeting booked
"Gulf Sothebys (George Azar)",brokerage,YES,SKIP,UAE,Dubai,https://www.gulfsothebysrealty.com,George Azar (CEO Gulf Sothebys),CEO,(already on Philips list),(SKIP - DM owned by Phillip),"Global Sothebys Intl Realty UAE arm","Already on phone list",SKIP,DM confirmed owned by Phillip
